party_name,party_abbrev,year,lrgen,galtan,eu_position,immigration,environment,redistribution,law_order,decentralization
VVD,VVD,2019,7.8,5.2,8.2,6.5,4.5,3.2,7.5,6.8
CDA,CDA,2019,5.5,6.2,7.5,5.0,5.2,4.8,6.5,5.5
PVV,PVV,2019,5.0,8.5,2.0,9.5,2.5,5.5,8.5,6.0
D66,D66,2019,5.2,3.5,8.8,4.5,7.5,5.0,4.0,6.5
SP,SP,2019,2.5,3.8,4.5,5.0,6.0,9.0,4.5,5.0
GroenLinks,GroenLinks,2019,2.8,2.5,8.5,5.5,9.5,8.5,3.5,6.0
ChristenUnie,ChristenUnie,2019,5.0,6.0,7.2,4.5,6.5,5.5,5.5,5.2
PvdA,PvdA,2019,3.5,3.2,8.0,5.0,7.0,8.0,4.0,5.5
SGP,SGP,2019,6.5,9.0,4.5,6.0,4.0,4.5,7.5,7.0
Partij voor de Dieren,PvdD,2019,2.2,2.0,7.5,5.0,9.8,7.5,3.0,5.5
FVD,FVD,2019,6.0,8.0,1.5,8.5,3.0,4.0,8.0,7.5
DENK,DENK,2019,4.0,5.0,6.5,3.5,5.5,6.5,4.5,5.0
50Plus,50Plus,2019,5.5,5.5,6.0,5.0,4.5,5.5,5.5,5.0
Volt,Volt,2019,5.0,3.0,9.5,5.0,7.5,5.0,4.0,4.0
JA21,JA21,2019,7.0,7.0,4.0,7.5,3.5,3.5,7.0,6.5
BBB,BBB,2023,5.5,6.5,5.0,5.5,4.5,4.5,5.5,8.0
NSC,NSC,2023,5.8,6.0,6.5,5.5,5.0,5.0,6.0,6.0
GroenLinks-PvdA,GroenLinks-PvdA,2023,3.2,3.0,8.2,5.0,7.5,8.2,4.0,5.5
